"","title","author","year","publication_title","abstract","doi","url","source","preregister","type_of_control","publication_type","study_num","mean_age","setting","country","intervention_type","prejudice_type","intervention_approach","intervention_length","intervention_span","light_touch","open_data","condition_name","control_name","outcome_type","measure_name","scale_direction","time_measurement","delay","n_treatment","n_treatment_clusters","n_control","n_control_clusters","effect_type","test_statistic","effect_direction","adjusted","sd_control","result_page","heterogenous","provide_all_stats","synergy","personalization","policy_attitude_measure","unique_paper_id"
"92","Reducing implicit prejudice: Matching approach/avoidance strategies to contextual valence and regulatory focus","Phills, Curtis E Higgins, E. Tory', 'Kawakami, Kerry', 'Struthers, C. Ward', 'Santelli, Alexander G', '","2011.0","Journal of Experimental Social Psychology",NA,"10.1016/j.jesp.2011.03.013","https://www.sciencedirect.com/science/article/pii/S002210311100076X","articles+","0.0","2","1.0","2.0","19.4","4","US","1","1","9,14 (motivation)","0:10","1 day","1","0","promotion regulatory focus + approach strategy","promotion regulatory focus + no strategy","2","Implicit association test","-1.0","1.0","0.0","19.33333333","-","19.33333333","-","dim","-89","1.0","0.0","119.0","971.0","0.0","1.0","1.0","0.0","0.0",31
"93","Reducing implicit prejudice: Matching approach/avoidance strategies to contextual valence and regulatory focus","Phills, Curtis E Higgins, E. Tory', 'Kawakami, Kerry', 'Struthers, C. Ward', 'Santelli, Alexander G', '","2011.0","Journal of Experimental Social Psychology",NA,"10.1016/j.jesp.2011.03.013","https://www.sciencedirect.com/science/article/pii/S002210311100076X","articles+","0.0","2","1.0","2.0","19.4","4","US","1","1","9,14 (motivation)","0:10","1 day","1","0","prevention regulatory focus + avoidance strategy","prevention regulatory focus + no strategy","2","Implicit association test","-1.0","1.0","0.0","19.33333333","-","19.33333333","-","dim","-93","1.0","0.0","128.0","971.0","0.0","1.0","1.0","0.0","0.0",31
"94","Reducing the Expression of Implicit Stereotypes: Reflexive Control Through Implementation Intentions","Mendoza, Saaid A', 'Gollwitzer, Peter M', 'Amodio, David M","2010.0","Personality and Social Psychology Bulletin","The authors tested the effectiveness of implementation intentions as a strategy for limiting the behavioral expression of implicit stereotypes. Implementation intentions are if-then plans that link an intended response to an anticipated situational cue, thereby enabling a reflexive form of control. The authors examined whether two different types of implementation intentions could improve response accuracy on the Shooter Task, a reaction time measure of implicit stereotyping. In Study 1, participants used a distraction-inhibiting implementation intention designed to engage control over the perception of goal-irrelevant stimuli (e.g., race). In Study 2, participants used a response-facilitating implementation intention designed to promote goal-directed action. Across studies, implementation intentions improved accuracy, thereby limiting the behavioral expression of implicit stereotypes. Furthermore, process dissociation analyses indicated that the distraction-inhibiting implementation intention increased controlled processing while reducing automatic stereotype activation, whereas the response-facilitating implementation intention increased only controlled processing. Implications for goal strategy approaches to reducing prejudice are discussed.","10.1177/0146167210362789","https://journals.sagepub.com/doi/full/10.1177/0146167210362789', 'https://www.ncbi.nlm.nih.gov/pubmed/20363905', 'https://search.proquest.com/docview/733564214","articles+","0.0","3","1.0","1.0","20","4","US","1","1","9","0:01","1 day","1","0","implementation intention","no strategy","8","errors overall","-1.0","1.0","0.0","34","-","34","-","dim","-0.04","1.0","0.0","0.08","516.0","1.0","1.0","0.0","0.0","0.0",32
"95","Reducing the Expression of Implicit Stereotypes: Reflexive Control Through Implementation Intentions","Mendoza, Saaid A', 'Gollwitzer, Peter M', 'Amodio, David M","2010.0","Personality and Social Psychology Bulletin","The authors tested the effectiveness of implementation intentions as a strategy for limiting the behavioral expression of implicit stereotypes. Implementation intentions are if-then plans that link an intended response to an anticipated situational cue, thereby enabling a reflexive form of control. The authors examined whether two different types of implementation intentions could improve response accuracy on the Shooter Task, a reaction time measure of implicit stereotyping. In Study 1, participants used a distraction-inhibiting implementation intention designed to engage control over the perception of goal-irrelevant stimuli (e.g., race). In Study 2, participants used a response-facilitating implementation intention designed to promote goal-directed action. Across studies, implementation intentions improved accuracy, thereby limiting the behavioral expression of implicit stereotypes. Furthermore, process dissociation analyses indicated that the distraction-inhibiting implementation intention increased controlled processing while reducing automatic stereotype activation, whereas the response-facilitating implementation intention increased only controlled processing. Implications for goal strategy approaches to reducing prejudice are discussed.","10.1177/0146167210362789","https://journals.sagepub.com/doi/full/10.1177/0146167210362789', 'https://www.ncbi.nlm.nih.gov/pubmed/20363905', 'https://search.proquest.com/docview/733564214","articles+","0.0","3","1.0","2.0","20","4","US","1","1","9","0:01","1 day","1","0","implementation intention","no strategy","8","errors overall","-1.0","1.0","0.0","30.66666667","-","30.66666667","-","dim","-0.04","1.0","0.0","0.08","518.0","1.0","1.0","0.0","0.0","0.0",32
"96","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","malleability","neutral coping intervention","3","negative attitudes","-1.0","1.0","0.0","168.0","-","172.0","-","did","0.18","1.0","0.0","0.88","from author","0.0","1.0","0.0","0.0","1.0",33
"97","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","malleability","neutral coping intervention","3","negative attitudes","-1.0","2.0","2 weeks","162.0","-","166.0","-","did","0.18","1.0","0.0","0.88","from author","0.0","1.0","0.0","0.0","1.0",33
"98","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","malleability","neutral coping intervention","3","negative attitudes","-1.0","2.0","2 months","139.0","-","136.0","-","did","0.27","1.0","0.0","0.88","from author","0.0","1.0","0.0","0.0","1.0",33
"99","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","malleability","neutral coping intervention","3","negative attitudes","-1.0","2.0","6 months","105.0","-","97.0","-","did","0.42","1.0","0.0","0.88","from author","0.0","1.0","0.0","0.0","1.0",33
"100","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","malleability","neutral coping intervention","1","trust game","1.0","2.0","6 months","105.0","-","97.0","-","dim","1.86","1.0","0.0","3.49","from author","0.0","1.0","0.0","0.0","1.0",33
"101","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","malleability","neutral coping intervention","1","dictator game","1.0","2.0","2 weeks","162.0","-","166.0","-","dim","3.09","1.0","0.0","15.63","from author","0.0","1.0","0.0","0.0","1.0",33
"102","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","malleability","neutral coping intervention","1","dictator game","1.0","2.0","2 months","139.0","-","136.0","-","dim","4.38","1.0","0.0","14.64","from author","0.0","1.0","0.0","0.0","1.0",33
"103","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","malleability","neutral coping intervention","1","dictator game","1.0","2.0","6 months","105.0","-","97.0","-","dim","5.14","1.0","0.0","17.23","from author","0.0","1.0","0.0","0.0","1.0",33
"104","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","perspective taking","neutral coping intervention","3","negative attitudes","-1.0","1.0","0.0","168.0","-","172.0","-","did","0.17","1.0","0.0","0.88","from author","0.0","1.0","0.0","0.0","1.0",33
"105","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","perspective taking","neutral coping intervention","3","negative attitudes","-1.0","2.0","2 weeks","166.0","-","166.0","-","did","0.11","1.0","0.0","0.88","from author","0.0","1.0","0.0","0.0","1.0",33
"106","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","perspective taking","neutral coping intervention","3","negative attitudes","-1.0","2.0","2 months","135.0","-","136.0","-","did","0.1","1.0","0.0","0.88","from author","0.0","1.0","0.0","0.0","1.0",33
"107","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","perspective taking","neutral coping intervention","3","negative attitudes","-1.0","2.0","6 months","97.0","-","97.0","-","did","0.23","1.0","0.0","0.88","from author","0.0","1.0","0.0","0.0","1.0",33
"108","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","perspective taking","neutral coping intervention","1","trust game","1.0","2.0","6 months","97.0","-","97.0","-","dim","0.85","1.0","0.0","3.49","from author","0.0","1.0","0.0","0.0","1.0",33
"109","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","perspective taking","neutral coping intervention","1","dictator game","1.0","2.0","2 weeks","166.0","-","166.0","-","dim","1.85","1.0","0.0","15.63","from author","0.0","1.0","0.0","0.0","1.0",33
"110","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","perspective taking","neutral coping intervention","1","dictator game","1.0","2.0","2 months","136.0","-","136.0","-","dim","2.54","1.0","0.0","14.64","from author","0.0","1.0","0.0","0.0","1.0",33
"111","Testing the impact and durability of a group malleability intervention in the context of the Israeli‚ÄìPalestinian conflict","Goldenberg A., Cohen-Chen S., Goyer J.P., Dweck C.S., Gross J.J., Halperin E.","2018.0","Proceedings of the National Academy of Sciences of the United States of America",NA,"10.1073/pnas.1706800115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040864169&doi=10.1073%2fpnas.1706800115&partnerID=40&md5=6658b0950b18c4d9ec50f338dd038a1f","Scopus","0.0","2","1.0","-","28.81","6","israel","2","2","9","5:00","1 day","0","0","perspective taking","neutral coping intervention","1","dictator game","1.0","2.0","6 months","97.0","-","97.0","-","dim","2.63","1.0","0.0","17.23","from author","0.0","1.0","0.0","0.0","1.0",33
"112","The week after: Do the effects of imagined contact last over time?","Ioannou, M.","2019.0","Journal of Applied Social Psychology","The vast majority of studies assessing the prejudice reduction properties of imagined contact have focused so far on the immediate effects of the intervention. In an attempt to contribute to the literature examining the long‐term effects of imagined contact, the two studies reported in this paper tested the immediate and long‐term effects of imagined contact on outgroup attitudes, intergroup anxiety, and behavioral intentions in Experiment 1, and also on contact self‐efficacy in Experiment 2. Both studies were conducted in a context of entrenched intergroup conflict, Cyprus. The results supported the effectiveness of imagined contact in eliciting more positive attitudes, lower levels of anxiety, more positive behavioral intentions, and higher contact self‐efficacy when these were measured immediately after contact. However, evidence for the endurance of these effects was systematically found only for outgroup attitudes and intergroup anxiety. While these results speak to the ability of imagined contact to lead to long‐term changes in important and commonly studied intergroup outcomes, lack of consistent evidence regarding its ability to yield lasting changes on variables pertaining to intended behavior toward the outgroup compose a challenge for the intervention. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","10.1111/jasp.12597","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-27123-001&site=ehost-live//ORCID: 0000-0003-4937-7960//M.Ioannou@rug.nl","EBSCOhost","0.0","2","1.0","2.0","20","4","Cyprus","1","1","5","0:01","1 day","1","0","imagined contact","control","3","outgroup attitudes","1.0","1.0","0.0","22.0","-","20.0","-","did","-1.42","1.0","0.0","2.78","466,2","0.0","1.0","0.0","0.0","0.0",34
"113","The week after: Do the effects of imagined contact last over time?","Ioannou, M.","2019.0","Journal of Applied Social Psychology","The vast majority of studies assessing the prejudice reduction properties of imagined contact have focused so far on the immediate effects of the intervention. In an attempt to contribute to the literature examining the long‐term effects of imagined contact, the two studies reported in this paper tested the immediate and long‐term effects of imagined contact on outgroup attitudes, intergroup anxiety, and behavioral intentions in Experiment 1, and also on contact self‐efficacy in Experiment 2. Both studies were conducted in a context of entrenched intergroup conflict, Cyprus. The results supported the effectiveness of imagined contact in eliciting more positive attitudes, lower levels of anxiety, more positive behavioral intentions, and higher contact self‐efficacy when these were measured immediately after contact. However, evidence for the endurance of these effects was systematically found only for outgroup attitudes and intergroup anxiety. While these results speak to the ability of imagined contact to lead to long‐term changes in important and commonly studied intergroup outcomes, lack of consistent evidence regarding its ability to yield lasting changes on variables pertaining to intended behavior toward the outgroup compose a challenge for the intervention. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","10.1111/jasp.12597","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-27123-001&site=ehost-live//ORCID: 0000-0003-4937-7960//M.Ioannou@rug.nl","EBSCOhost","0.0","2","1.0","2.0","20","4","Cyprus","1","1","5","0:01","1 day","1","0","imagined contact","control","8","behavioral intentions","1.0","1.0","0.0","22.0","-","20.0","-","did","-0.31","1.0","0.0","0.99","466,2","0.0","1.0","0.0","0.0","0.0",34
"114","The week after: Do the effects of imagined contact last over time?","Ioannou, M.","2019.0","Journal of Applied Social Psychology","The vast majority of studies assessing the prejudice reduction properties of imagined contact have focused so far on the immediate effects of the intervention. In an attempt to contribute to the literature examining the long‐term effects of imagined contact, the two studies reported in this paper tested the immediate and long‐term effects of imagined contact on outgroup attitudes, intergroup anxiety, and behavioral intentions in Experiment 1, and also on contact self‐efficacy in Experiment 2. Both studies were conducted in a context of entrenched intergroup conflict, Cyprus. The results supported the effectiveness of imagined contact in eliciting more positive attitudes, lower levels of anxiety, more positive behavioral intentions, and higher contact self‐efficacy when these were measured immediately after contact. However, evidence for the endurance of these effects was systematically found only for outgroup attitudes and intergroup anxiety. While these results speak to the ability of imagined contact to lead to long‐term changes in important and commonly studied intergroup outcomes, lack of consistent evidence regarding its ability to yield lasting changes on variables pertaining to intended behavior toward the outgroup compose a challenge for the intervention. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","10.1111/jasp.12597","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-27123-001&site=ehost-live//ORCID: 0000-0003-4937-7960//M.Ioannou@rug.nl","EBSCOhost","0.0","2","1.0","2.0","20","4","Cyprus","1","1","5","0:01","1 day","1","0","imagined contact","control","3","outgroup attitudes","1.0","2.0","1 week","22.0","-","20.0","-","did","-1.08","1.0","0.0","2.78","466,2","0.0","1.0","0.0","0.0","0.0",34
"115","The week after: Do the effects of imagined contact last over time?","Ioannou, M.","2019.0","Journal of Applied Social Psychology","The vast majority of studies assessing the prejudice reduction properties of imagined contact have focused so far on the immediate effects of the intervention. In an attempt to contribute to the literature examining the long‐term effects of imagined contact, the two studies reported in this paper tested the immediate and long‐term effects of imagined contact on outgroup attitudes, intergroup anxiety, and behavioral intentions in Experiment 1, and also on contact self‐efficacy in Experiment 2. Both studies were conducted in a context of entrenched intergroup conflict, Cyprus. The results supported the effectiveness of imagined contact in eliciting more positive attitudes, lower levels of anxiety, more positive behavioral intentions, and higher contact self‐efficacy when these were measured immediately after contact. However, evidence for the endurance of these effects was systematically found only for outgroup attitudes and intergroup anxiety. While these results speak to the ability of imagined contact to lead to long‐term changes in important and commonly studied intergroup outcomes, lack of consistent evidence regarding its ability to yield lasting changes on variables pertaining to intended behavior toward the outgroup compose a challenge for the intervention. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","10.1111/jasp.12597","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-27123-001&site=ehost-live//ORCID: 0000-0003-4937-7960//M.Ioannou@rug.nl","EBSCOhost","0.0","2","1.0","2.0","20","4","Cyprus","1","1","5","0:01","1 day","1","0","imagined contact","control","8","behavioral intentions","1.0","2.0","1 week","22.0","-","20.0","-","did","-0.05","1.0","0.0","0.99","466,2","0.0","1.0","0.0","0.0","0.0",34
"116","Responses to Endorsement of Commonality by Ingroup and Outgroup Members","Gomez, Angel, 'V√°zquez, Alexandra', 'Gaertner, Samuel L', 'Fern√°ndez, Saulo', 'Dovidio, John F","2013.0","Personality and Social Psychology Bulletin","Two experiments integrated research on the roles of common identity and social norms in intergroup orientations. Experiment 1 demonstrated that learning that ingroup members categorized the ingroup (Spaniards) and outgroup (Eastern European immigrants) within a common identity (European) produced more positive intergroup orientations toward immigrants. By contrast, learning that outgroup members held the same position elicited less positive orientations compared with a condition in which the information came from a neutral source. The effects were mediated by one-group representations. Experiment 2 also found that endorsement of a common identity generated more positive intergroup orientations when it was expressed by ingroup than outgroup members and revealed how this effect may be sequentially mediated by personal one-group representations and symbolic threat.","10.1177/0146167213475366","https://journals.sagepub.com/doi/full/10.1177/0146167213475366', 'https://www.ncbi.nlm.nih.gov/pubmed/23456560', 'https://search.proquest.com/docview/1317853252","articles+","0.0","2","1.0","1.0","14.83","3","Spain","1","3","3,8","0:05","1 day","1","0","ingroup source","neutral source","3","postive intergroup orientation","1.0","1.0","0.0","18.33333333","-","18.33333333","-","dim","0.81","1.0","0.0","0.63","423,1","0.0","1.0","1.0","0.0","0.0",35
"117","Two-Player Game: Playing Casual Video Games with Outgroup Members Reduces Levels of Prejudice Toward That Outgroup","Stiff, Chris', 'Bowen, Tom","2016.0","International Journal of Human-Computer Interaction","Video games have traditionally held a dubious reputation in the media and have been linked to many antisocial behaviors. A large amount of research has borne out some of these concerns, linking video games with addiction and particularly aggression. However, recent work in this area has begun to examine the positive aspects of video gaming. In this work, we examine how playing casual, low-involvement video games with an outgroup member may reduce prejudice. In Study 1, participants played cooperatively or competitively with a (trivial) outgroup member or alone. In Studies 2 and 3, a meaningful social identity was used: students' university affiliation. Participants played either cooperatively with a rival university student against the computer, or alone. Analyses of all three studies showed that attitudes toward the outgroup were more positive after playing with an outgroup member compared with control conditions. How these findings may be applied to real world groups and extensions for future research are then discussed.","10.1080/10447318.2016.1212484","http://www.tandfonline.com/doi/abs/10.1080/10447318.2016.1212484","articles+","0.0","2","1.0","1.0","22.34","4","UK","1","10","4","0:05","1 day","1","0","cooperative condition","playing alone","3","attitude toward the outgroup","1.0","1.0","0.0","29","-","29","-","dim","0.51","1.0","0.0","0.96","915.0","0.0","1.0","0.0","0.0","0.0",36
"118","Acknowledging the skeletons in our closet: Collective guilt and ingroup -affirmation","Gunn, Gregory Roy","2009.0","Personality and Social Psychology Bulletin","Just as people defend against threats to personal identity, they also defend against threats to social identity. In the context of intergroup transgression, the defensiveness against social identity threat has the effect of undermining collective guilt and its prosocial consequences. However, there may be ways for perpetrator groups to alleviate threat without undermining guilt. Five studies examined whether perpetrator groups are more willing to acknowledge collective guilt once social identity threat has been buffered by ingroup-affirmation. As predicted, Study 1 revealed that men accepted greater collective guilt for the mistreatment of women after affirming their ingroup. Replicating this effect, Study 2 revealed that, following ingroup-affirmation, Canadians accepted greater collective guilt over the mistreatment of Aboriginal children in residential schools. In light of the theoretical distinction between collective guilt and collective shame, Studies 3 and 4 examined the effect of ingroup-affirmation on each emotion. Results revealed that, as with collective guilt, Canadians accepted greater collective shame following ingroup-affirmation. More importantly, ingroup-affirmation moderated the relation of each emotion with compensation. Specifically, when controlling for each other, collective shame predicted compensation only when social identity threat was left unchecked, whereas collective guilt predicted compensation only when social identity threat had been disarmed by ingroup-affirmation. Finally, Study 5 provided direct evidence that the effect of ingroup-affirmation is mediated by defensiveness. Specifically, ingroup-affirmation lowered defensiveness, which in turn freed group members to acknowledge greater collective guilt and greater collective shame. The theoretical and applied implications of these findings are discussed.",NA,"https://search.proquest.com/docview/305136539","articles+","0.0","2","1.0","2.0","18.31","9","Canada","3","1","6","0:05","1 day","1","0","group affirmation","control condiiton","6","collective guilt","1.0","1.0","0.0","29.5","-","29.5","-","dim","0.96","1.0","0.0","1.5","1478.0","0.0","1.0","0.0","0.0","1.0",37
"119","Acknowledging the skeletons in our closet: Collective guilt and ingroup -affirmation","Gunn, Gregory Roy","2009.0","Personality and Social Psychology Bulletin","Just as people defend against threats to personal identity, they also defend against threats to social identity. In the context of intergroup transgression, the defensiveness against social identity threat has the effect of undermining collective guilt and its prosocial consequences. However, there may be ways for perpetrator groups to alleviate threat without undermining guilt. Five studies examined whether perpetrator groups are more willing to acknowledge collective guilt once social identity threat has been buffered by ingroup-affirmation. As predicted, Study 1 revealed that men accepted greater collective guilt for the mistreatment of women after affirming their ingroup. Replicating this effect, Study 2 revealed that, following ingroup-affirmation, Canadians accepted greater collective guilt over the mistreatment of Aboriginal children in residential schools. In light of the theoretical distinction between collective guilt and collective shame, Studies 3 and 4 examined the effect of ingroup-affirmation on each emotion. Results revealed that, as with collective guilt, Canadians accepted greater collective shame following ingroup-affirmation. More importantly, ingroup-affirmation moderated the relation of each emotion with compensation. Specifically, when controlling for each other, collective shame predicted compensation only when social identity threat was left unchecked, whereas collective guilt predicted compensation only when social identity threat had been disarmed by ingroup-affirmation. Finally, Study 5 provided direct evidence that the effect of ingroup-affirmation is mediated by defensiveness. Specifically, ingroup-affirmation lowered defensiveness, which in turn freed group members to acknowledge greater collective guilt and greater collective shame. The theoretical and applied implications of these findings are discussed.",NA,"https://search.proquest.com/docview/305136539","articles+","0.0","2","1.0","3.0","20.17","9","Canada","3","1","6","0:05","1 day","1","0","group affirmation","control condiiton","6","collective guilt","1.0","1.0","0.0","29.5","-","29.5","-","dim","0.68","1.0","0.0","1.47","1479.0","0.0","1.0","0.0","0.0","1.0",37
